Disease,ICD10code,ICD10codeDescr,Provenance,Exclude
Primary malignancy oesophageal,C15.5,Malignant neoplasm: Lower third of oesophagus,Cross-mapped,NA
Primary malignancy oesophageal,C15.8,Malignant neoplasm: Overlapping lesion of oesophagus,Cross-mapped,NA
Primary malignancy oesophageal,C15.9,"Malignant neoplasm: Oesophagus, unspecified",Cross-mapped,NA
Primary malignancy oesophageal,C16.0,Malignant neoplasm: Cardia,Cross-mapped,NA
Primary malignancy oesophageal,D37.7,Neoplasm of uncertain or unknown behaviour: Other digestive organs,Cross-mapped,NA
Primary malignancy oesophageal,Z85.0,Personal history of malignant neoplasm of digestive organs,Cross-mapped,NA
Primary malignancy ovarian,C56,Malignant neoplasm of ovary,Overlap,NA
Primary malignancy ovarian,Z85.4,Personal history of malignant neoplasm of genital organs,Cross-mapped,NA
Primary malignancy pancreatic,C25,Malignant neoplasm of pancreas,Kuan,NA
Primary malignancy pancreatic,C25.0,Malignant neoplasm: Head of pancreas,Cross-mapped,NA
Primary malignancy pancreatic,C25.1,Malignant neoplasm: Body of pancreas,Cross-mapped,NA
Primary malignancy pancreatic,C25.2,Malignant neoplasm: Tail of pancreas,Cross-mapped,NA
Primary malignancy pancreatic,C25.3,Malignant neoplasm: Pancreatic duct,Cross-mapped,NA
Primary malignancy pancreatic,C25.4,Malignant neoplasm: Endocrine pancreas,Cross-mapped,NA
Primary malignancy pancreatic,C25.7,Malignant neoplasm: Other parts of pancreas,Cross-mapped,NA
Primary malignancy pancreatic,C25.8,Malignant neoplasm: Overlapping lesion of pancreas,Cross-mapped,NA
Primary malignancy pancreatic,C25.9,"Malignant neoplasm: Pancreas, unspecified",Cross-mapped,NA
Primary malignancy pancreatic,D37.7,Neoplasm of uncertain or unknown behaviour: Other digestive organs,Cross-mapped,NA
Primary malignancy prostate,C61,Malignant neoplasm of prostate,Overlap,NA
Primary malignancy prostate,Z85.4,Personal history of malignant neoplasm of genital organs,Cross-mapped,NA
Primary malignancy stomach,C15.5,Malignant neoplasm: Lower third of oesophagus,Cross-mapped,NA
Primary malignancy stomach,C16,Malignant neoplasm of stomach,Kuan,NA
Primary malignancy stomach,C16.0,Malignant neoplasm: Cardia,Cross-mapped,NA
Primary malignancy stomach,C16.1,Malignant neoplasm: Fundus of stomach,Cross-mapped,NA
Primary malignancy stomach,C16.2,Malignant neoplasm: Body of stomach,Cross-mapped,NA
Primary malignancy stomach,C16.3,Malignant neoplasm: Pyloric antrum,Cross-mapped,NA
Primary malignancy stomach,C16.4,Malignant neoplasm: Pylorus,Cross-mapped,NA
Primary malignancy stomach,C16.5,"Malignant neoplasm: Lesser curvature of stomach, unspecified",Cross-mapped,NA
Primary malignancy stomach,C16.6,"Malignant neoplasm: Greater curvature of stomach, unspecified",Cross-mapped,NA
Primary malignancy stomach,C16.8,Malignant neoplasm: Overlapping lesion of stomach,Cross-mapped,NA
Primary malignancy stomach,C16.9,"Malignant neoplasm: Stomach, unspecified",Cross-mapped,NA
Primary malignancy stomach,D00.2,Carcinoma in situ: Stomach,Cross-mapped,NA
Primary malignancy stomach,D37.1,Neoplasm of uncertain or unknown behaviour: Stomach,Cross-mapped,NA
Primary malignancy stomach,Z85.0,Personal history of malignant neoplasm of digestive organs,Cross-mapped,NA
Primary malignancy testicular,C62,Malignant neoplasm of testis,Kuan,NA
Primary malignancy testicular,C62.0,Malignant neoplasm: Undescended testis,Cross-mapped,NA
Primary malignancy testicular,C62.1,Malignant neoplasm: Descended testis,Cross-mapped,NA
Primary malignancy testicular,C62.9,"Malignant neoplasm: Testis, unspecified",Cross-mapped,NA
Primary malignancy testicular,D07.6,Carcinoma in situ: Other and unspecified male genital organs,Cross-mapped,NA
Primary malignancy testicular,D40.1,Neoplasm of uncertain or unknown behaviour: Testis,Cross-mapped,NA
Primary malignancy testicular,Z85.4,Personal history of malignant neoplasm of genital organs,Cross-mapped,NA
Primary malignancy thyroid,C73,Malignant neoplasm of thyroid gland,Overlap,NA
Primary malignancy thyroid,D09.3,Carcinoma in situ: Thyroid and other endocrine glands,Cross-mapped,NA
Primary malignancy thyroid,D44.0,Neoplasm of uncertain or unknown behaviour: Thyroid gland,Cross-mapped,NA
Primary malignancy thyroid,D44.2,Neoplasm of uncertain or unknown behaviour: Parathyroid gland,Cross-mapped,NA
Primary malignancy thyroid,Z85.8,Personal history of malignant neoplasms of other organs and systems,Cross-mapped,NA
Primary malignancy uterine,C54,Malignant neoplasm of corpus uteri,Kuan,NA
Primary malignancy uterine,C54.0,Malignant neoplasm: Isthmus uteri,Cross-mapped,NA
Primary malignancy uterine,C54.1,Malignant neoplasm: Endometrium,Cross-mapped,NA
Primary malignancy uterine,C54.2,Malignant neoplasm: Myometrium,Cross-mapped,NA
Primary malignancy uterine,C54.3,Malignant neoplasm: Fundus uteri,Cross-mapped,NA
Primary malignancy uterine,C54.8,Malignant neoplasm: Overlapping lesion of corpus uteri,Cross-mapped,NA
Primary malignancy uterine,C54.9,"Malignant neoplasm: Corpus uteri, unspecified",Cross-mapped,NA
Primary malignancy uterine,C55,Malignant neoplasm of uterus part unspecified,Overlap,NA
Primary malignancy uterine,Z85.4,Personal history of malignant neoplasm of genital organs,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C00,Malignant neoplasm of lip,Kuan,NA
Primary Malignancy_Oro-pharyngeal,C00.0,Malignant neoplasm: External upper lip,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C00.1,Malignant neoplasm: External lower lip,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C00.2,"Malignant neoplasm: External lip, unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C00.3,"Malignant neoplasm: Upper lip, inner aspect",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C00.4,"Malignant neoplasm: Lower lip, inner aspect",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C00.5,"Malignant neoplasm: Lip, unspecified, inner aspect",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C00.6,Malignant neoplasm: Commissure of lip,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C00.8,Malignant neoplasm: Overlapping lesion of lip,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C00.9,"Malignant neoplasm: Lip, unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C01,Malignant neoplasm of base of tongue,Overlap,NA
Primary Malignancy_Oro-pharyngeal,C02,Malignant neoplasm of other and unspecified parts of tongue,Kuan,NA
Primary Malignancy_Oro-pharyngeal,C02.0,Malignant neoplasm: Dorsal surface of tongue,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C02.1,Malignant neoplasm: Border of tongue,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C02.2,Malignant neoplasm: Ventral surface of tongue,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C02.3,"Malignant neoplasm: Anterior two-thirds of tongue, part unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C02.4,Malignant neoplasm: Lingual tonsil,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C02.8,Malignant neoplasm: Overlapping lesion of tongue,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C02.9,"Malignant neoplasm: Tongue, unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C03,Malignant neoplasm of gum,Kuan,NA
Primary Malignancy_Oro-pharyngeal,C03.0,Malignant neoplasm: Upper gum,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C03.1,Malignant neoplasm: Lower gum,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C03.9,"Malignant neoplasm: Gum, unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C04,Malignant neoplasm of floor of mouth,Kuan,NA
Primary Malignancy_Oro-pharyngeal,C04.0,Malignant neoplasm: Anterior floor of mouth,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C04.1,Malignant neoplasm: Lateral floor of mouth,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C04.8,Malignant neoplasm: Overlapping lesion of floor of mouth,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C04.9,"Malignant neoplasm: Floor of mouth, unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C05,Malignant neoplasm of palate,Kuan,NA
Primary Malignancy_Oro-pharyngeal,C05.0,Malignant neoplasm: Hard palate,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C05.1,Malignant neoplasm: Soft palate,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C05.2,Malignant neoplasm: Uvula,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C05.8,Malignant neoplasm: Overlapping lesion of palate,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C05.9,"Malignant neoplasm: Palate, unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C06,Malignant neoplasm of other and unspecified parts of mouth,Kuan,NA
Primary Malignancy_Oro-pharyngeal,C06.0,Malignant neoplasm: Cheek mucosa,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C06.1,Malignant neoplasm: Vestibule of mouth,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C06.2,Malignant neoplasm: Retromolar area,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C06.9,"Malignant neoplasm: Mouth, unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C07,Malignant neoplasm of parotid gland,Overlap,NA
Primary Malignancy_Oro-pharyngeal,C08,Malignant neoplasm of other and unspecified major salivary glands,Kuan,NA
Primary Malignancy_Oro-pharyngeal,C08.0,Malignant neoplasm: Submandibular gland,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C08.1,Malignant neoplasm: Sublingual gland,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C08.9,"Malignant neoplasm: Major salivary gland, unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C09,Malignant neoplasm of tonsil,Kuan,NA
Primary Malignancy_Oro-pharyngeal,C09.0,Malignant neoplasm: Tonsillar fossa,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C09.1,Malignant neoplasm: Tonsillar pillar (anterior)(posterior),Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C09.8,Malignant neoplasm: Overlapping lesion of tonsil,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C09.9,"Malignant neoplasm: Tonsil, unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C10,Malignant neoplasm of oropharynx,Kuan,NA
Primary Malignancy_Oro-pharyngeal,C10.0,Malignant neoplasm: Vallecula,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C10.1,Malignant neoplasm: Anterior surface of epiglottis,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C10.2,Malignant neoplasm: Lateral wall of oropharynx,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C10.3,Malignant neoplasm: Posterior wall of oropharynx,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C10.8,Malignant neoplasm: Overlapping lesion of oropharynx,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C10.9,"Malignant neoplasm: Oropharynx, unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C11,Malignant neoplasm of nasopharynx,Kuan,NA
Primary Malignancy_Oro-pharyngeal,C11.0,Malignant neoplasm: Superior wall of nasopharynx,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C11.1,Malignant neoplasm: Posterior wall of nasopharynx,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C11.2,Malignant neoplasm: Lateral wall of nasopharynx,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C11.3,Malignant neoplasm: Anterior wall of nasopharynx,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C11.8,Malignant neoplasm: Overlapping lesion of nasopharynx,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C11.9,"Malignant neoplasm: Nasopharynx, unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C12,Malignant neoplasm of piriform sinus,Overlap,NA
Primary Malignancy_Oro-pharyngeal,C13,Malignant neoplasm of hypopharynx,Kuan,NA
Primary Malignancy_Oro-pharyngeal,C13.0,Malignant neoplasm: Postcricoid region,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C13.2,Malignant neoplasm: Posterior wall of hypopharynx,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C13.9,"Malignant neoplasm: Hypopharynx, unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C14,Malignant neoplasm of other and ill-defined sites in the lip oral cavity and pharynx,Kuan,NA
Primary Malignancy_Oro-pharyngeal,C14.0,"Malignant neoplasm: Pharynx, unspecified",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C14.2,Malignant neoplasm: Waldeyer ring,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,C14.8,"Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx",Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,Z85.0,Personal history of malignant neoplasm of digestive organs,Cross-mapped,NA
Primary Malignancy_Oro-pharyngeal,Z85.8,Personal history of malignant neoplasms of other organs and systems,Cross-mapped,NA
Primary Malignancy_Other,B21.0,HIV disease resulting in Kaposi sarcoma,Cross-mapped,NA
Primary Malignancy_Other,C17,Malignant neoplasm of small intestine,Kuan,NA
Primary Malignancy_Other,C17.0,Malignant neoplasm: Duodenum,Cross-mapped,NA
Primary Malignancy_Other,C17.1,Malignant neoplasm: Jejunum,Cross-mapped,NA
Primary Malignancy_Other,C17.2,Malignant neoplasm: Ileum,Cross-mapped,NA
Primary Malignancy_Other,C17.3,Malignant neoplasm: Meckel diverticulum,Cross-mapped,NA
Primary Malignancy_Other,C17.8,Malignant neoplasm: Overlapping lesion of small intestine,Cross-mapped,NA
Primary Malignancy_Other,C17.9,"Malignant neoplasm: Small intestine, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C23,Malignant neoplasm of gallbladder,Overlap,NA
Primary Malignancy_Other,C26.0,Malignant neoplasm: Intestinal tract,Overlap,NA
Primary Malignancy_Other,C26.1,Malignant neoplasm: Spleen,Overlap,NA
Primary Malignancy_Other,C26.8,Malignant neoplasm: Overlapping lesion of digestive system,Overlap,NA
Primary Malignancy_Other,C26.9,Malignant neoplasm: Ill-defined sites within the digestive system,Overlap,NA
Primary Malignancy_Other,C30.0,Malignant neoplasm: Nasal cavity,Overlap,NA
Primary Malignancy_Other,C30.1,Malignant neoplasm: Middle ear,Overlap,NA
Primary Malignancy_Other,C31,Malignant neoplasm of accessory sinuses,Kuan,NA
Primary Malignancy_Other,C31.0,Malignant neoplasm: Maxillary sinus,Cross-mapped,NA
Primary Malignancy_Other,C31.1,Malignant neoplasm: Ethmoidal sinus,Cross-mapped,NA
Primary Malignancy_Other,C31.2,Malignant neoplasm: Frontal sinus,Cross-mapped,NA
Primary Malignancy_Other,C31.3,Malignant neoplasm: Sphenoidal sinus,Cross-mapped,NA
Primary Malignancy_Other,C31.8,Malignant neoplasm: Overlapping lesion of accessory sinuses,Cross-mapped,NA
Primary Malignancy_Other,C31.9,"Malignant neoplasm: Accessory sinus, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C32,Malignant neoplasm of larynx,Kuan,NA
Primary Malignancy_Other,C32.0,Malignant neoplasm: Glottis,Cross-mapped,NA
Primary Malignancy_Other,C32.1,Malignant neoplasm: Supraglottis,Cross-mapped,NA
Primary Malignancy_Other,C32.2,Malignant neoplasm: Subglottis,Cross-mapped,NA
Primary Malignancy_Other,C32.3,Malignant neoplasm: Laryngeal cartilage,Cross-mapped,NA
Primary Malignancy_Other,C32.8,Malignant neoplasm: Overlapping lesion of larynx,Cross-mapped,NA
Primary Malignancy_Other,C32.9,"Malignant neoplasm: Larynx, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C37,Malignant neoplasm of thymus,Overlap,NA
Primary Malignancy_Other,C38.0,Malignant neoplasm: Heart,Overlap,NA
Primary Malignancy_Other,C38.1,Malignant neoplasm: Anterior mediastinum,Overlap,NA
Primary Malignancy_Other,C38.2,Malignant neoplasm: Posterior mediastinum,Overlap,NA
Primary Malignancy_Other,C38.3,Malignant neoplasm: Mediastinum,Overlap,NA
Primary Malignancy_Other,C38.4,Malignant neoplasm: Pleura,Overlap,NA
Primary Malignancy_Other,C38.8,Overlapping lesion of heart,Kuan,NA
Primary Malignancy_Other,C39.0,Malignant neoplasm: Upper respiratory tract,Kuan,NA
Primary Malignancy_Other,C39.8,Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs,Kuan,NA
Primary Malignancy_Other,C39.9,Malignant neoplasm: Ill-defined sites within the respiratory system,Overlap,NA
Primary Malignancy_Other,C46,Kaposi sarcoma,Kuan,NA
Primary Malignancy_Other,C46.1,Kaposi sarcoma of soft tissue,Cross-mapped,NA
Primary Malignancy_Other,C46.3,Kaposi sarcoma of lymph nodes,Cross-mapped,NA
Primary Malignancy_Other,C46.7,Kaposi sarcoma of other sites,Cross-mapped,NA
Primary Malignancy_Other,C46.8,Kaposi sarcoma of multiple organs,Cross-mapped,NA
Primary Malignancy_Other,C46.9,"Kaposi sarcoma, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,Kuan,NA
Primary Malignancy_Other,C47.3,Malignant neoplasm: Peripheral nerves of thorax,Cross-mapped,NA
Primary Malignancy_Other,C47.4,Malignant neoplasm: Peripheral nerves of abdomen,Cross-mapped,NA
Primary Malignancy_Other,C47.5,Malignant neoplasm: Peripheral nerves of pelvis,Cross-mapped,NA
Primary Malignancy_Other,C48,Malignant neoplasm of retroperitoneum and peritoneum,Kuan,NA
Primary Malignancy_Other,C48.0,Malignant neoplasm: Retroperitoneum,Cross-mapped,NA
Primary Malignancy_Other,C48.1,Malignant neoplasm: Specified parts of peritoneum,Cross-mapped,NA
Primary Malignancy_Other,C48.2,"Malignant neoplasm: Peritoneum, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C49,Malignant neoplasm of other connective and soft tissue,Kuan,NA
Primary Malignancy_Other,C49.0,"Malignant neoplasm: Connective and soft tissue of head, face and neck",Cross-mapped,NA
Primary Malignancy_Other,C49.1,"Malignant neoplasm: Connective and soft tissue of upper limb, including shoulder",Cross-mapped,NA
Primary Malignancy_Other,C49.2,"Malignant neoplasm: Connective and soft tissue of lower limb, including hip",Cross-mapped,NA
Primary Malignancy_Other,C49.3,Malignant neoplasm: Connective and soft tissue of thorax,Cross-mapped,NA
Primary Malignancy_Other,C49.4,Malignant neoplasm: Connective and soft tissue of abdomen,Cross-mapped,NA
Primary Malignancy_Other,C49.5,Malignant neoplasm: Connective and soft tissue of pelvis,Cross-mapped,NA
Primary Malignancy_Other,C49.9,"Malignant neoplasm: Connective and soft tissue, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C51,Malignant neoplasm of vulva,Kuan,NA
Primary Malignancy_Other,C51.0,Malignant neoplasm: Labium majus,Cross-mapped,NA
Primary Malignancy_Other,C51.1,Malignant neoplasm: Labium minus,Cross-mapped,NA
Primary Malignancy_Other,C51.2,Malignant neoplasm: Clitoris,Cross-mapped,NA
Primary Malignancy_Other,C51.8,Malignant neoplasm: Overlapping lesion of vulva,Cross-mapped,NA
Primary Malignancy_Other,C51.9,"Malignant neoplasm: Vulva, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C52,Malignant neoplasm of vagina,Overlap,NA
Primary Malignancy_Other,C57,Malignant neoplasm of other and unspecified female genital organs,Kuan,NA
Primary Malignancy_Other,C57.0,Malignant neoplasm: Fallopian tube,Cross-mapped,NA
Primary Malignancy_Other,C57.1,Malignant neoplasm: Broad ligament,Cross-mapped,NA
Primary Malignancy_Other,C57.3,Malignant neoplasm: Parametrium,Cross-mapped,NA
Primary Malignancy_Other,C57.4,"Malignant neoplasm: Uterine adnexa, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C57.7,Malignant neoplasm: Other specified female genital organs,Cross-mapped,NA
Primary Malignancy_Other,C57.8,Malignant neoplasm: Overlapping lesion of female genital organs,Cross-mapped,NA
Primary Malignancy_Other,C57.9,"Malignant neoplasm: Female genital organ, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C58,Malignant neoplasm of placenta,Overlap,NA
Primary Malignancy_Other,C60,Malignant neoplasm of penis,Kuan,NA
Primary Malignancy_Other,C60.0,Malignant neoplasm: Prepuce,Cross-mapped,NA
Primary Malignancy_Other,C60.1,Malignant neoplasm: Glans penis,Cross-mapped,NA
Primary Malignancy_Other,C60.2,Malignant neoplasm: Body of penis,Cross-mapped,NA
Primary Malignancy_Other,C60.8,Malignant neoplasm: Overlapping lesion of penis,Cross-mapped,NA
Primary Malignancy_Other,C60.9,"Malignant neoplasm: Penis, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C63,Malignant neoplasm of other and unspecified male genital organs,Kuan,NA
Primary Malignancy_Other,C63.0,Malignant neoplasm: Epididymis,Cross-mapped,NA
Primary Malignancy_Other,C63.1,Malignant neoplasm: Spermatic cord,Cross-mapped,NA
Primary Malignancy_Other,C63.2,Malignant neoplasm: Scrotum,Cross-mapped,NA
Primary Malignancy_Other,C63.7,Malignant neoplasm: Other specified male genital organs,Cross-mapped,NA
Primary Malignancy_Other,C63.9,"Malignant neoplasm: Male genital organ, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C68,Malignant neoplasm of other and unspecified urinary organs,Kuan,NA
Primary Malignancy_Other,C68.0,Malignant neoplasm: Urethra,Cross-mapped,NA
Primary Malignancy_Other,C68.1,Malignant neoplasm: Paraurethral gland,Cross-mapped,NA
Primary Malignancy_Other,C68.8,Malignant neoplasm: Overlapping lesion of urinary organs,Cross-mapped,NA
Primary Malignancy_Other,C68.9,"Malignant neoplasm: Urinary organ, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C69,Malignant neoplasm of eye and adnexa,Kuan,NA
Primary Malignancy_Other,C69.0,Malignant neoplasm: Conjunctiva,Cross-mapped,NA
Primary Malignancy_Other,C69.1,Malignant neoplasm: Cornea,Cross-mapped,NA
Primary Malignancy_Other,C69.2,Malignant neoplasm: Retina,Cross-mapped,NA
Primary Malignancy_Other,C69.3,Malignant neoplasm: Choroid,Cross-mapped,NA
Primary Malignancy_Other,C69.4,Malignant neoplasm: Ciliary body,Cross-mapped,NA
Primary Malignancy_Other,C69.5,Malignant neoplasm: Lacrimal gland and duct,Cross-mapped,NA
Primary Malignancy_Other,C69.6,Malignant neoplasm: Orbit,Cross-mapped,NA
Primary Malignancy_Other,C69.8,Malignant neoplasm: Overlapping lesion of eye and adnexa,Cross-mapped,NA
Primary Malignancy_Other,C69.9,"Malignant neoplasm: Eye, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C72.9,"Malignant neoplasm: Central nervous system, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C74,Malignant neoplasm of adrenal gland,Kuan,NA
Primary Malignancy_Other,C74.0,Malignant neoplasm: Cortex of adrenal gland,Cross-mapped,NA
Primary Malignancy_Other,C74.1,Malignant neoplasm: Medulla of adrenal gland,Cross-mapped,NA
Primary Malignancy_Other,C74.9,"Malignant neoplasm: Adrenal gland, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C75.0,Malignant neoplasm: Parathyroid gland,Overlap,NA
Primary Malignancy_Other,C75.8,Malignant neoplasm: Pluriglandular involvement,Kuan,NA
Primary Malignancy_Other,C75.9,Malignant neoplasm: Endocrine gland,Overlap,NA
Primary Malignancy_Other,C76,Malignant neoplasm of other and ill-defined sites,Kuan,NA
Primary Malignancy_Other,C76.0,"Malignant neoplasm of other and ill-defined sites: Head, face and neck",Cross-mapped,NA
Primary Malignancy_Other,C76.1,Malignant neoplasm of other and ill-defined sites: Thorax,Cross-mapped,NA
Primary Malignancy_Other,C76.2,Malignant neoplasm of other and ill-defined sites: Abdomen,Cross-mapped,NA
Primary Malignancy_Other,C76.3,Malignant neoplasm of other and ill-defined sites: Pelvis,Cross-mapped,NA
Primary Malignancy_Other,C76.4,Malignant neoplasm of other and ill-defined sites: Upper limb,Cross-mapped,NA
Primary Malignancy_Other,C76.5,Malignant neoplasm of other and ill-defined sites: Lower limb,Cross-mapped,NA
Primary Malignancy_Other,C76.7,Malignant neoplasm of other and ill-defined sites: Other ill-defined sites,Cross-mapped,NA
Primary Malignancy_Other,C80,Malignant neoplasm without specification of site,Overlap,NA
Primary Malignancy_Other,C80.0,"Malignant neoplasm, primary site unknown, so stated",Cross-mapped,NA
Primary Malignancy_Other,C80.9,"Malignant neoplasm, primary site unspecified",Cross-mapped,NA
Primary Malignancy_Other,C88.3,Immunoproliferative small intestinal disease,Overlap,NA
Primary Malignancy_Other,C88.4,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],Kuan,NA
Primary Malignancy_Other,C88.7,Other malignant immunoproliferative diseases,Overlap,NA
Primary Malignancy_Other,C88.9,Malignant immunoproliferative disease,Overlap,NA
Primary Malignancy_Other,C96,Other and unspecified malignant neoplasms of lymphoid,Kuan,NA
Primary Malignancy_Other,C96.0,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease],Cross-mapped,NA
Primary Malignancy_Other,C96.2,Malignant mast cell tumour,Cross-mapped,NA
Primary Malignancy_Other,C96.5,Multifocal and unisystemic Langerhans-cell histiocytosis,Cross-mapped,NA
Primary Malignancy_Other,C96.6,Unifocal Langerhans-cell histiocytosis,Cross-mapped,NA
Primary Malignancy_Other,C96.8,Histiocytic sarcoma,Cross-mapped,NA
Primary Malignancy_Other,C96.9,"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified",Cross-mapped,NA
Primary Malignancy_Other,C97,Malignant neoplasms of independent (primary) multiple sites,Overlap,NA
Primary Malignancy_Other,D39.2,Neoplasm of uncertain or unknown behaviour: Placenta,Cross-mapped,NA
Primary Malignancy_Other Skin and subcutaneous tissue,C44,Other malignant neoplasms of skin,Overlap,NA
Primary Malignancy_Other Skin and subcutaneous tissue,C44.0,Malignant neoplasm: Skin of lip,Cross-mapped,NA
Primary Malignancy_Other Skin and subcutaneous tissue,C44.1,"Malignant neoplasm: Skin of eyelid, including canthus",Cross-mapped,NA
Primary Malignancy_Other Skin and subcutaneous tissue,C44.2,Malignant neoplasm: Skin of ear and external auricular canal,Cross-mapped,NA
Primary Malignancy_Other Skin and subcutaneous tissue,C44.3,Malignant neoplasm: Skin of other and unspecified parts of face,Cross-mapped,NA
Primary Malignancy_Other Skin and subcutaneous tissue,C44.4,Malignant neoplasm: Skin of scalp and neck,Cross-mapped,NA
Primary Malignancy_Other Skin and subcutaneous tissue,C44.5,Malignant neoplasm: Skin of trunk,Cross-mapped,NA
Primary Malignancy_Other Skin and subcutaneous tissue,C44.6,"Malignant neoplasm: Skin of upper limb, including shoulder",Cross-mapped,NA
Primary Malignancy_Other Skin and subcutaneous tissue,C44.7,"Malignant neoplasm: Skin of lower limb, including hip",Cross-mapped,NA
Primary Malignancy_Other Skin and subcutaneous tissue,C44.8,Malignant neoplasm: Overlapping lesion of skin,Cross-mapped,NA
Primary Malignancy_Other Skin and subcutaneous tissue,C44.9,"Malignant neoplasm: Malignant neoplasm of skin, unspecified",Cross-mapped,NA
Primary Malignancy_Other Skin and subcutaneous tissue,Z85.8,Personal history of malignant neoplasms of other organs and systems,Cross-mapped,NA
Psoriasis,L40,Psoriasis,Kuan,NA
Psoriasis,L40.0,Psoriasis vulgaris,Cross-mapped,NA
