Condition,ICD10code,ICD10codeDescr
Primary malignancy testicular,C62,Malignant neoplasm of testis
Primary malignancy testicular,C62.0,Malignant neoplasm: Undescended testis
Primary malignancy testicular,C62.1,Malignant neoplasm: Descended testis
Primary malignancy testicular,C62.9,Malignant neoplasm: Testis, unspecified
Primary malignancy testicular,D40.1,Neoplasm of uncertain or unknown behaviour: Testis
Primary malignancy thyroid,C73,Malignant neoplasm of thyroid gland
Primary malignancy thyroid,D09.3,Carcinoma in situ: Thyroid and other endocrine glands
Primary malignancy thyroid,D44.0,Neoplasm of uncertain or unknown behaviour: Thyroid gland
Primary malignancy thyroid,D44.2,Neoplasm of uncertain or unknown behaviour: Parathyroid gland
Primary malignancy thyroid,Z85.8,Personal history of malignant neoplasms of other organs and systems
Primary malignancy uterine,C54,Malignant neoplasm of corpus uteri
Primary malignancy uterine,C54.0,Malignant neoplasm: Isthmus uteri
Primary malignancy uterine,C54.1,Malignant neoplasm: Endometrium
Primary malignancy uterine,C54.2,Malignant neoplasm: Myometrium
Primary malignancy uterine,C54.3,Malignant neoplasm: Fundus uteri
Primary malignancy uterine,C54.8,Malignant neoplasm: Overlapping lesion of corpus uteri
Primary malignancy uterine,C54.9,Malignant neoplasm: Corpus uteri, unspecified
Primary malignancy uterine,C55,Malignant neoplasm of uterus part unspecified
Primary malignancy uterine,C55,Malignant neoplasm of uterus, part unspecified
Primary Malignancy_Oro-pharyngeal,C00,Malignant neoplasm of lip
Primary Malignancy_Oro-pharyngeal,C00.0,Malignant neoplasm: External upper lip
Primary Malignancy_Oro-pharyngeal,C00.1,Malignant neoplasm: External lower lip
Primary Malignancy_Oro-pharyngeal,C00.2,Malignant neoplasm: External lip, unspecified
Primary Malignancy_Oro-pharyngeal,C00.3,Malignant neoplasm: Upper lip, inner aspect
Primary Malignancy_Oro-pharyngeal,C00.4,Malignant neoplasm: Lower lip, inner aspect
Primary Malignancy_Oro-pharyngeal,C00.5,Malignant neoplasm: Lip, unspecified, inner aspect
Primary Malignancy_Oro-pharyngeal,C00.6,Malignant neoplasm: Commissure of lip
Primary Malignancy_Oro-pharyngeal,C00.8,Malignant neoplasm: Overlapping lesion of lip
Primary Malignancy_Oro-pharyngeal,C00.9,Malignant neoplasm: Lip, unspecified
Primary Malignancy_Oro-pharyngeal,C01,Malignant neoplasm of base of tongue
Primary Malignancy_Oro-pharyngeal,C02,Malignant neoplasm of other and unspecified parts of tongue
Primary Malignancy_Oro-pharyngeal,C02.0,Malignant neoplasm: Dorsal surface of tongue
Primary Malignancy_Oro-pharyngeal,C02.1,Malignant neoplasm: Border of tongue
Primary Malignancy_Oro-pharyngeal,C02.2,Malignant neoplasm: Ventral surface of tongue
Primary Malignancy_Oro-pharyngeal,C02.3,Malignant neoplasm: Anterior two-thirds of tongue, part unspecified
Primary Malignancy_Oro-pharyngeal,C02.4,Malignant neoplasm: Lingual tonsil
Primary Malignancy_Oro-pharyngeal,C02.8,Malignant neoplasm: Overlapping lesion of tongue
Primary Malignancy_Oro-pharyngeal,C02.9,Malignant neoplasm: Tongue, unspecified
Primary Malignancy_Oro-pharyngeal,C03,Malignant neoplasm of gum
Primary Malignancy_Oro-pharyngeal,C03.0,Malignant neoplasm: Upper gum
Primary Malignancy_Oro-pharyngeal,C03.1,Malignant neoplasm: Lower gum
Primary Malignancy_Oro-pharyngeal,C03.9,Malignant neoplasm: Gum, unspecified
Primary Malignancy_Oro-pharyngeal,C04,Malignant neoplasm of floor of mouth
Primary Malignancy_Oro-pharyngeal,C04.0,Malignant neoplasm: Anterior floor of mouth
Primary Malignancy_Oro-pharyngeal,C04.1,Malignant neoplasm: Lateral floor of mouth
Primary Malignancy_Oro-pharyngeal,C04.8,Malignant neoplasm: Overlapping lesion of floor of mouth
Primary Malignancy_Oro-pharyngeal,C04.9,Malignant neoplasm: Floor of mouth, unspecified
Primary Malignancy_Oro-pharyngeal,C05,Malignant neoplasm of palate
Primary Malignancy_Oro-pharyngeal,C05.0,Malignant neoplasm: Hard palate
Primary Malignancy_Oro-pharyngeal,C05.1,Malignant neoplasm: Soft palate
Primary Malignancy_Oro-pharyngeal,C05.2,Malignant neoplasm: Uvula
Primary Malignancy_Oro-pharyngeal,C05.8,Malignant neoplasm: Overlapping lesion of palate
Primary Malignancy_Oro-pharyngeal,C05.9,Malignant neoplasm: Palate, unspecified
Primary Malignancy_Oro-pharyngeal,C06,Malignant neoplasm of other and unspecified parts of mouth
Primary Malignancy_Oro-pharyngeal,C06.0,Malignant neoplasm: Cheek mucosa
Primary Malignancy_Oro-pharyngeal,C06.1,Malignant neoplasm: Vestibule of mouth
Primary Malignancy_Oro-pharyngeal,C06.2,Malignant neoplasm: Retromolar area
Primary Malignancy_Oro-pharyngeal,C06.9,Malignant neoplasm: Mouth, unspecified
Primary Malignancy_Oro-pharyngeal,C07,Malignant neoplasm of parotid gland
Primary Malignancy_Oro-pharyngeal,C08,Malignant neoplasm of other and unspecified major salivary glands
Primary Malignancy_Oro-pharyngeal,C08.0,Malignant neoplasm: Submandibular gland
Primary Malignancy_Oro-pharyngeal,C08.1,Malignant neoplasm: Sublingual gland
Primary Malignancy_Oro-pharyngeal,C08.9,Malignant neoplasm: Major salivary gland, unspecified
Primary Malignancy_Oro-pharyngeal,C09,Malignant neoplasm of tonsil
Primary Malignancy_Oro-pharyngeal,C09.0,Malignant neoplasm: Tonsillar fossa
Primary Malignancy_Oro-pharyngeal,C09.1,Malignant neoplasm: Tonsillar pillar (anterior)(posterior)
Primary Malignancy_Oro-pharyngeal,C09.8,Malignant neoplasm: Overlapping lesion of tonsil
Primary Malignancy_Oro-pharyngeal,C09.9,Malignant neoplasm: Tonsil, unspecified
Primary Malignancy_Oro-pharyngeal,C10,Malignant neoplasm of oropharynx
Primary Malignancy_Oro-pharyngeal,C10.0,Malignant neoplasm: Vallecula
Primary Malignancy_Oro-pharyngeal,C10.1,Malignant neoplasm: Anterior surface of epiglottis
Primary Malignancy_Oro-pharyngeal,C10.2,Malignant neoplasm: Lateral wall of oropharynx
Primary Malignancy_Oro-pharyngeal,C10.3,Malignant neoplasm: Posterior wall of oropharynx
Primary Malignancy_Oro-pharyngeal,C10.8,Malignant neoplasm: Overlapping lesion of oropharynx
Primary Malignancy_Oro-pharyngeal,C10.9,Malignant neoplasm: Oropharynx, unspecified
Primary Malignancy_Oro-pharyngeal,C11,Malignant neoplasm of nasopharynx
Primary Malignancy_Oro-pharyngeal,C11.0,Malignant neoplasm: Superior wall of nasopharynx
Primary Malignancy_Oro-pharyngeal,C11.1,Malignant neoplasm: Posterior wall of nasopharynx
Primary Malignancy_Oro-pharyngeal,C11.2,Malignant neoplasm: Lateral wall of nasopharynx
Primary Malignancy_Oro-pharyngeal,C11.3,Malignant neoplasm: Anterior wall of nasopharynx
Primary Malignancy_Oro-pharyngeal,C11.8,Malignant neoplasm: Overlapping lesion of nasopharynx
Primary Malignancy_Oro-pharyngeal,C11.9,Malignant neoplasm: Nasopharynx, unspecified
Primary Malignancy_Oro-pharyngeal,C12,Malignant neoplasm of piriform sinus
Primary Malignancy_Oro-pharyngeal,C13,Malignant neoplasm of hypopharynx
Primary Malignancy_Oro-pharyngeal,C13.0,Malignant neoplasm: Postcricoid region
Primary Malignancy_Oro-pharyngeal,C13.2,Malignant neoplasm: Posterior wall of hypopharynx
Primary Malignancy_Oro-pharyngeal,C13.9,Malignant neoplasm: Hypopharynx, unspecified
Primary Malignancy_Oro-pharyngeal,C14,Malignant neoplasm of other and ill-defined sites in the lip oral cavity and pharynx
Primary Malignancy_Oro-pharyngeal,C14.0,Malignant neoplasm: Pharynx, unspecified
Primary Malignancy_Oro-pharyngeal,C14.2,Malignant neoplasm: Waldeyer ring
Primary Malignancy_Oro-pharyngeal,C14.8,Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx
Primary Malignancy_Oro-pharyngeal,C32.0,Malignant neoplasm: Glottis
Primary Malignancy_Oro-pharyngeal,C32.1,Malignant neoplasm: Supraglottis
Primary Malignancy_Oro-pharyngeal,C32.2,Malignant neoplasm: Subglottis
Primary Malignancy_Oro-pharyngeal,C32.3,Malignant neoplasm: Laryngeal cartilage
Primary Malignancy_Oro-pharyngeal,C32.8,Malignant neoplasm: Overlapping lesion of larynx
Primary Malignancy_Oro-pharyngeal,C32.9,Malignant neoplasm: Larynx, unspecified
Primary Malignancy_Other,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
Primary Malignancy_Other,B21.0,HIV disease resulting in Kaposi sarcoma
Primary Malignancy_Other,B21.7,HIV disease resulting in multiple malignant neoplasms
Primary Malignancy_Other,B21.8,HIV disease resulting in other malignant neoplasms
Primary Malignancy_Other,B21.9,HIV disease resulting in unspecified malignant neoplasm
Primary Malignancy_Other,C17,Malignant neoplasm of small intestine
Primary Malignancy_Other,C17.0,Malignant neoplasm: Duodenum
Primary Malignancy_Other,C17.1,Malignant neoplasm: Jejunum
Primary Malignancy_Other,C17.2,Malignant neoplasm: Ileum
Primary Malignancy_Other,C17.3,Malignant neoplasm: Meckel diverticulum
Primary Malignancy_Other,C17.8,Malignant neoplasm: Overlapping lesion of small intestine
Primary Malignancy_Other,C17.9,Malignant neoplasm: Small intestine, unspecified
Primary Malignancy_Other,C23,Malignant neoplasm of gallbladder
Primary Malignancy_Other,C26.0,Malignant neoplasm: Intestinal tract
Primary Malignancy_Other,C26.0,Malignant neoplasm: Intestinal tract, part unspecified
Primary Malignancy_Other,C26.1,Malignant neoplasm: Spleen
Primary Malignancy_Other,C26.8,Malignant neoplasm: Overlapping lesion of digestive system
Primary Malignancy_Other,C26.9,Malignant neoplasm: Ill-defined sites within the digestive system
Primary Malignancy_Other,C30.0,Malignant neoplasm: Nasal cavity
Primary Malignancy_Other,C30.1,Malignant neoplasm: Middle ear
Primary Malignancy_Other,C31,Malignant neoplasm of accessory sinuses
Primary Malignancy_Other,C31.0,Malignant neoplasm: Maxillary sinus
Primary Malignancy_Other,C31.1,Malignant neoplasm: Ethmoidal sinus
Primary Malignancy_Other,C31.2,Malignant neoplasm: Frontal sinus
Primary Malignancy_Other,C31.3,Malignant neoplasm: Sphenoidal sinus
Primary Malignancy_Other,C31.8,Malignant neoplasm: Overlapping lesion of accessory sinuses
Primary Malignancy_Other,C31.9,Malignant neoplasm: Accessory sinus, unspecified
Primary Malignancy_Other,C32,Malignant neoplasm of larynx
Primary Malignancy_Other,C37,Malignant neoplasm of thymus
Primary Malignancy_Other,C38.0,Malignant neoplasm: Heart
Primary Malignancy_Other,C38.1,Malignant neoplasm: Anterior mediastinum
Primary Malignancy_Other,C38.2,Malignant neoplasm: Posterior mediastinum
Primary Malignancy_Other,C38.3,Malignant neoplasm: Mediastinum
Primary Malignancy_Other,C38.3,Malignant neoplasm: Mediastinum, part unspecified
Primary Malignancy_Other,C38.4,Malignant neoplasm: Pleura
Primary Malignancy_Other,C38.8,Overlapping lesion of heart
Primary Malignancy_Other,C39.0,Malignant neoplasm: Upper respiratory tract
Primary Malignancy_Other,C39.8,Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs
Primary Malignancy_Other,C39.9,Malignant neoplasm: Ill-defined sites within the respiratory system
Primary Malignancy_Other,C46,Kaposi sarcoma
Primary Malignancy_Other,C46.1,Kaposi sarcoma of soft tissue
Primary Malignancy_Other,C46.3,Kaposi sarcoma of lymph nodes
Primary Malignancy_Other,C46.7,Kaposi sarcoma of other sites
Primary Malignancy_Other,C46.8,Kaposi sarcoma of multiple organs
Primary Malignancy_Other,C46.9,Kaposi sarcoma, unspecified
Primary Malignancy_Other,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system
Primary Malignancy_Other,C47.3,Malignant neoplasm: Peripheral nerves of thorax
Primary Malignancy_Other,C47.4,Malignant neoplasm: Peripheral nerves of abdomen
Primary Malignancy_Other,C47.5,Malignant neoplasm: Peripheral nerves of pelvis
Primary Malignancy_Other,C48,Malignant neoplasm of retroperitoneum and peritoneum
Primary Malignancy_Other,C48.0,Malignant neoplasm: Retroperitoneum
Primary Malignancy_Other,C48.1,Malignant neoplasm: Specified parts of peritoneum
Primary Malignancy_Other,C48.2,Malignant neoplasm: Peritoneum, unspecified
Primary Malignancy_Other,C49,Malignant neoplasm of other connective and soft tissue
Primary Malignancy_Other,C49.0,Malignant neoplasm: Connective and soft tissue of head, face and neck
Primary Malignancy_Other,C49.1,Malignant neoplasm: Connective and soft tissue of upper limb, including shoulder
Primary Malignancy_Other,C49.2,Malignant neoplasm: Connective and soft tissue of lower limb, including hip
Primary Malignancy_Other,C49.3,Malignant neoplasm: Connective and soft tissue of thorax
Primary Malignancy_Other,C49.4,Malignant neoplasm: Connective and soft tissue of abdomen
Primary Malignancy_Other,C49.5,Malignant neoplasm: Connective and soft tissue of pelvis
Primary Malignancy_Other,C49.9,Malignant neoplasm: Connective and soft tissue, unspecified
Primary Malignancy_Other,C51,Malignant neoplasm of vulva
Primary Malignancy_Other,C51.0,Malignant neoplasm: Labium majus
Primary Malignancy_Other,C51.1,Malignant neoplasm: Labium minus
Primary Malignancy_Other,C51.2,Malignant neoplasm: Clitoris
Primary Malignancy_Other,C51.8,Malignant neoplasm: Overlapping lesion of vulva
Primary Malignancy_Other,C51.9,Malignant neoplasm: Vulva, unspecified
Primary Malignancy_Other,C52,Malignant neoplasm of vagina
Primary Malignancy_Other,C57,Malignant neoplasm of other and unspecified female genital organs
Primary Malignancy_Other,C57.0,Malignant neoplasm: Fallopian tube
Primary Malignancy_Other,C57.1,Malignant neoplasm: Broad ligament
Primary Malignancy_Other,C57.3,Malignant neoplasm: Parametrium
Primary Malignancy_Other,C57.4,Malignant neoplasm: Uterine adnexa, unspecified
Primary Malignancy_Other,C57.7,Malignant neoplasm: Other specified female genital organs
Primary Malignancy_Other,C57.8,Malignant neoplasm: Overlapping lesion of female genital organs
Primary Malignancy_Other,C57.9,Malignant neoplasm: Female genital organ, unspecified
Primary Malignancy_Other,C58,Malignant neoplasm of placenta
Primary Malignancy_Other,C60,Malignant neoplasm of penis
Primary Malignancy_Other,C60.0,Malignant neoplasm: Prepuce
Primary Malignancy_Other,C60.1,Malignant neoplasm: Glans penis
Primary Malignancy_Other,C60.2,Malignant neoplasm: Body of penis
Primary Malignancy_Other,C60.8,Malignant neoplasm: Overlapping lesion of penis
Primary Malignancy_Other,C60.9,Malignant neoplasm: Penis, unspecified
Primary Malignancy_Other,C63,Malignant neoplasm of other and unspecified male genital organs
Primary Malignancy_Other,C63.0,Malignant neoplasm: Epididymis
Primary Malignancy_Other,C63.1,Malignant neoplasm: Spermatic cord
Primary Malignancy_Other,C63.2,Malignant neoplasm: Scrotum
Primary Malignancy_Other,C63.7,Malignant neoplasm: Other specified male genital organs
Primary Malignancy_Other,C63.9,Malignant neoplasm: Male genital organ, unspecified
Primary Malignancy_Other,C68,Malignant neoplasm of other and unspecified urinary organs
Primary Malignancy_Other,C68.0,Malignant neoplasm: Urethra
Primary Malignancy_Other,C68.1,Malignant neoplasm: Paraurethral gland
Primary Malignancy_Other,C68.8,Malignant neoplasm: Overlapping lesion of urinary organs
Primary Malignancy_Other,C68.9,Malignant neoplasm: Urinary organ, unspecified
Primary Malignancy_Other,C69,Malignant neoplasm of eye and adnexa
Primary Malignancy_Other,C69.0,Malignant neoplasm: Conjunctiva
Primary Malignancy_Other,C69.1,Malignant neoplasm: Cornea
Primary Malignancy_Other,C69.2,Malignant neoplasm: Retina
Primary Malignancy_Other,C69.3,Malignant neoplasm: Choroid
Primary Malignancy_Other,C69.4,Malignant neoplasm: Ciliary body
Primary Malignancy_Other,C69.5,Malignant neoplasm: Lacrimal gland and duct
Primary Malignancy_Other,C69.6,Malignant neoplasm: Orbit
Primary Malignancy_Other,C69.8,Malignant neoplasm: Overlapping lesion of eye and adnexa
Primary Malignancy_Other,C69.9,Malignant neoplasm: Eye, unspecified
Primary Malignancy_Other,C72.9,Malignant neoplasm: Central nervous system, unspecified
Primary Malignancy_Other,C74,Malignant neoplasm of adrenal gland
Primary Malignancy_Other,C74.0,Malignant neoplasm: Cortex of adrenal gland
Primary Malignancy_Other,C74.1,Malignant neoplasm: Medulla of adrenal gland
Primary Malignancy_Other,C74.9,Malignant neoplasm: Adrenal gland, unspecified
Primary Malignancy_Other,C75.0,Malignant neoplasm: Parathyroid gland
Primary Malignancy_Other,C75.8,Malignant neoplasm: Pluriglandular involvement
Primary Malignancy_Other,C75.9,Malignant neoplasm: Endocrine gland
Primary Malignancy_Other,C75.9,Malignant neoplasm: Endocrine gland, unspecified
Primary Malignancy_Other,C76,Malignant neoplasm of other and ill-defined sites
Primary Malignancy_Other,C76.0,Malignant neoplasm of other and ill-defined sites: Head, face and neck
Primary Malignancy_Other,C76.1,Malignant neoplasm of other and ill-defined sites: Thorax
Primary Malignancy_Other,C76.2,Malignant neoplasm of other and ill-defined sites: Abdomen
Primary Malignancy_Other,C76.3,Malignant neoplasm of other and ill-defined sites: Pelvis
Primary Malignancy_Other,C76.4,Malignant neoplasm of other and ill-defined sites: Upper limb
Primary Malignancy_Other,C76.5,Malignant neoplasm of other and ill-defined sites: Lower limb
Primary Malignancy_Other,C76.7,Malignant neoplasm of other and ill-defined sites: Other ill-defined sites
Primary Malignancy_Other,C80,Malignant neoplasm without specification of site
Primary Malignancy_Other,C80.0,Malignant neoplasm, primary site unknown, so stated
Primary Malignancy_Other,C80.9,Malignant neoplasm, primary site unspecified
Primary Malignancy_Other,C88.3,Immunoproliferative small intestinal disease
Primary Malignancy_Other,C88.4,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]
Primary Malignancy_Other,C88.7,Other malignant immunoproliferative diseases
Primary Malignancy_Other,C88.9,Malignant immunoproliferative disease
Primary Malignancy_Other,C88.9,Malignant immunoproliferative disease, unspecified
Primary Malignancy_Other,C96,Other and unspecified malignant neoplasms of lymphoid
Primary Malignancy_Other,C96.0,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease]
Primary Malignancy_Other,C96.2,Malignant mast cell tumour
Primary Malignancy_Other,C96.5,Multifocal and unisystemic Langerhans-cell histiocytosis
Primary Malignancy_Other,C96.6,Unifocal Langerhans-cell histiocytosis
Primary Malignancy_Other,C96.8,Histiocytic sarcoma
Primary Malignancy_Other,C96.9,Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified
Primary Malignancy_Other,C97,Malignant neoplasms of independent (primary) multiple sites
Primary Malignancy_Other,D07.6,Carcinoma in situ: Other and unspecified male genital organs
Primary Malignancy_Other,D37.7,Neoplasm of uncertain or unknown behaviour: Other digestive organs
Primary Malignancy_Other,D39.2,Neoplasm of uncertain or unknown behaviour: Placenta
Primary Malignancy_Other,Z85.0,Personal history of malignant neoplasm of digestive organs
Primary Malignancy_Other,Z85.4,Personal history of malignant neoplasm of genital organs
Primary Malignancy_Other,Z85.8,Personal history of malignant neoplasms of other organs and systems
Primary Malignancy_Other Skin and subcutaneous tissue,C44,Other malignant neoplasms of skin
Primary Malignancy_Other Skin and subcutaneous tissue,C44.0,Malignant neoplasm: Skin of lip
Primary Malignancy_Other Skin and subcutaneous tissue,C44.1,Malignant neoplasm: Skin of eyelid, including canthus
Primary Malignancy_Other Skin and subcutaneous tissue,C44.2,Malignant neoplasm: Skin of ear and external auricular canal
Primary Malignancy_Other Skin and subcutaneous tissue,C44.3,Malignant neoplasm: Skin of other and unspecified parts of face
Primary Malignancy_Other Skin and subcutaneous tissue,C44.4,Malignant neoplasm: Skin of scalp and neck
Primary Malignancy_Other Skin and subcutaneous tissue,C44.5,Malignant neoplasm: Skin of trunk
Primary Malignancy_Other Skin and subcutaneous tissue,C44.6,Malignant neoplasm: Skin of upper limb, including shoulder
Primary Malignancy_Other Skin and subcutaneous tissue,C44.7,Malignant neoplasm: Skin of lower limb, including hip
Primary Malignancy_Other Skin and subcutaneous tissue,C44.8,Malignant neoplasm: Overlapping lesion of skin
Primary Malignancy_Other Skin and subcutaneous tissue,C44.9,Malignant neoplasm: Malignant neoplasm of skin, unspecified
Psoriasis,L40,Psoriasis
Psoriasis,L40.0,Psoriasis vulgaris
Psoriasis,L40.1,Generalized pustular psoriasis
Psoriasis,L40.3,Pustulosis palmaris et plantaris
Psoriasis,L40.4,Guttate psoriasis
Psoriasis,L40.8,Other psoriasis
Psoriasis,L40.9,Psoriasis, unspecified
Psoriasis,M07.0,Distal interphalangeal psoriatic arthropathy
Psoriasis,M07.1,Arthritis mutilans
Psoriasis,M07.2,Psoriatic spondylitis
Psoriasis,M07.3,Other psoriatic arthropathies
Psoriasis,M09.0,Juvenile arthritis in psoriasis
Psoriatic arthropathy,L40.5,Arthropathic psoriasis
Psoriatic arthropathy,M07.0,Distal interphalangeal psoriatic arthropathy
Psoriatic arthropathy,M07.1,Arthritis mutilans
Psoriatic arthropathy,M07.2,Psoriatic spondylitis
Psoriatic arthropathy,M07.3,Other psoriatic arthropathies
Ptosis of eyelid,H02.4,Ptosis of eyelid
Ptosis of eyelid,Q10.0,Congenital ptosis
Pulmonary hypertension,I27.0,Primary pulmonary hypertension
Pulmonary hypertension,I27.2,Other secondary pulmonary hypertension
Respiratory failure,J96,Respiratory failure
Respiratory failure,J96.1,Chronic respiratory failure
Respiratory failure,J96.9,Respiratory failure, unspecified
Retinal detachments and breaks,H33.0,Retinal detachment with retinal break
Retinal detachments and breaks,H33.2,Serous retinal detachment
Retinal detachments and breaks,H33.3,Retinal breaks without detachment
Retinal detachments and breaks,H33.4,Traction detachment of retina
Retinal detachments and breaks,H33.5,Other retinal detachments
Retinal vascular occlusions,H34,Retinal vascular occlusions
Retinal vascular occlusions,H34.0,Transient retinal artery occlusion
Retinal vascular occlusions,H34.1,Central retinal artery occlusion
Retinal vascular occlusions,H34.2,Other retinal artery occlusions
Retinal vascular occlusions,H34.8,Other retinal vascular occlusions
Retinal vascular occlusions,H34.9,Retinal vascular occlusion, unspecified
Rheumatic valve dz,I05,Rheumatic mitral valve diseases
Rheumatic valve dz,I05.1,Rheumatic mitral insufficiency
Rheumatic valve dz,I06,Rheumatic aortic valve diseases
Rheumatic valve dz,I06.0,Rheumatic aortic stenosis
Rheumatic valve dz,I06.1,Rheumatic aortic insufficiency
Rheumatic valve dz,I06.2,Rheumatic aortic stenosis with insufficiency
Rheumatic valve dz,I06.8,Other rheumatic aortic valve diseases
Rheumatic valve dz,I06.9,Rheumatic aortic valve disease, unspecified
Rheumatic valve dz,I07,Rheumatic tricuspid valve diseases
Rheumatic valve dz,I09.1,Rheumatic diseases of endocardium, valve unspecified
Rheumatic valve dz,I09.8,Other specified rheumatic heart diseases
Rheumatoid Arthritis,J99.0,Rheumatoid lung disease
Rheumatoid Arthritis,M05,Seropositive rheumatoid arthritis
Rheumatoid Arthritis,M05.0,Felty syndrome
Rheumatoid Arthritis,M05.2,Rheumatoid vasculitis
Rheumatoid Arthritis,M05.8,Other seropositive rheumatoid arthritis
Rheumatoid Arthritis,M05.9,Seropositive rheumatoid arthritis, unspecified
Rheumatoid Arthritis,M06,Other rheumatoid arthritis
Rheumatoid Arthritis,M06.0,Seronegative rheumatoid arthritis
Rheumatoid Arthritis,M06.1,Adult-onset Still disease
Rheumatoid Arthritis,M06.2,Rheumatoid bursitis
Rheumatoid Arthritis,M06.3,Rheumatoid nodule
Rheumatoid Arthritis,M06.8,Other specified rheumatoid arthritis
Rheumatoid Arthritis,M06.9,Rheumatoid arthritis, unspecified
Rosacea,L71.1,Rhinophyma
Rosacea,L71.8,Other rosacea
Rosacea,L71.9,Rosacea
Rosacea,L71.9,Rosacea, unspecified
Sarcoidosis,D86,Sarcoidosis
Sarcoidosis,D86.0,Sarcoidosis of lung
Sarcoidosis,D86.1,Sarcoidosis of lymph nodes
Sarcoidosis,D86.2,Sarcoidosis of lung with sarcoidosis of lymph nodes
Sarcoidosis,D86.3,Sarcoidosis of skin
Sarcoidosis,D86.8,Sarcoidosis of other and combined sites
Sarcoidosis,D86.9,Sarcoidosis, unspecified
Sarcoidosis,G53.2,Multiple cranial nerve palsies in sarcoidosis
Sarcoidosis,M63.3,Myositis in sarcoidosis
SARS-CoV-2,U07.1,COVID-19, virus identified
SARS-CoV-2,U08,Personal history of COVID-19
SARS-CoV-2,U08.9,Personal history of COVID-19, unspecified
SARS-CoV-2,U09,Post COVID-19 condition
SARS-CoV-2,U09.9,Post COVID-19 condition, unspecified
SARS-CoV-2,U10,Multisystem inflammatory syndrome associated with COVID-19
SARS-CoV-2,U10.9,Multisystem inflammatory syndrome associated with COVID-19, unspecified
SARS-CoV-2,U11,Need for immunization against COVID-19
SARS-CoV-2,U11.9,Need for immunization against COVD-19, unspecified
SARS-CoV-2,U12,COVID-19 vaccines causing adverse effects in therapeutic use
SARS-CoV-2,U12.9,COVID-19 vaccines causing adverse effects in therapeutic use, unspecified
Schizophrenia and non-organic psychosis,F20,Schizophrenia
Schizophrenia and non-organic psychosis,F20.0,Paranoid schizophrenia
Schizophrenia and non-organic psychosis,F20.1,Hebephrenic schizophrenia
Schizophrenia and non-organic psychosis,F20.2,Catatonic schizophrenia
Schizophrenia and non-organic psychosis,F20.3,Undifferentiated schizophrenia
Schizophrenia and non-organic psychosis,F20.4,Post-schizophrenic depression
Schizophrenia and non-organic psychosis,F20.5,Residual schizophrenia
Schizophrenia and non-organic psychosis,F20.6,Simple schizophrenia
Schizophrenia and non-organic psychosis,F20.8,Other schizophrenia
Schizophrenia and non-organic psychosis,F20.9,Schizophrenia, unspecified
Schizophrenia and non-organic psychosis,F21,Schizotypal disorder
Schizophrenia and non-organic psychosis,F22,Persistent delusional disorders
Schizophrenia and non-organic psychosis,F22.0,Delusional disorder
Schizophrenia and non-organic psychosis,F22.8,Other persistent delusional disorders
Schizophrenia and non-organic psychosis,F22.9,Persistent delusional disorder, unspecified
Schizophrenia and non-organic psychosis,F23.0,Acute polymorphic psychotic disorder without symptoms of schizophrenia
Schizophrenia and non-organic psychosis,F23.1,Acute polymorphic psychotic disorder with symptoms of schizophrenia
Schizophrenia and non-organic psychosis,F23.2,Acute schizophrenia-like psychotic disorder
Schizophrenia and non-organic psychosis,F23.3,Other acute predominantly delusional psychotic disorders
Schizophrenia and non-organic psychosis,F23.9,Acute and transient psychotic disorder, unspecified
Schizophrenia and non-organic psychosis,F25,Schizoaffective disorders
Schizophrenia and non-organic psychosis,F25.0,Schizoaffective disorder, manic type
Schizophrenia and non-organic psychosis,F25.1,Schizoaffective disorder, depressive type
Schizophrenia and non-organic psychosis,F25.2,Schizoaffective disorder, mixed type
Schizophrenia and non-organic psychosis,F25.8,Other schizoaffective disorders
Schizophrenia and non-organic psychosis,F25.9,Schizoaffective disorder, unspecified
Schizophrenia and non-organic psychosis,F28,Other nonorganic psychotic disorders
Schizophrenia and non-organic psychosis,F29,Unspecified nonorganic psychosis
Schizophrenia and non-organic psychosis,F60.1,Schizoid personality disorder
Scoliosis,I27.1,Kyphoscoliotic heart disease
Scoliosis,M41,Scoliosis
Scoliosis,M41.0,Infantile idiopathic scoliosis
Scoliosis,M41.1,Juvenile idiopathic scoliosis
Scoliosis,M41.2,Other idiopathic scoliosis
Scoliosis,M41.3,Thoracogenic scoliosis
Scoliosis,M41.4,Neuromuscular scoliosis
Scoliosis,M41.5,Other secondary scoliosis
Scoliosis,M41.8,Other forms of scoliosis
Scoliosis,M41.9,Scoliosis, unspecified
Scoliosis,M96.8,Other postprocedural musculoskeletal disorders
Scoliosis,Q67.5,Congenital deformity of spine
Scoliosis,Q76.3,Congenital scoliosis due to congenital bony malformation
Scoliosis,Q76.4,Other congenital malformations of spine, not associated with scoliosis
Seborrheic dermatitis,L21,Seborrhoeic dermatitis
Seborrheic dermatitis,L21.0,Seborrhoea capitis
