Disease,ICD10code,ICD10codeDescr,Category,OPCS4code,OPCS4codeDescr
Oesophageal varices,NA,NA,Procedure for Oesophageal varices,G10.4,Local ligation of varices of oesophagus
Oesophageal varices,NA,NA,Procedure for Oesophageal varices,G10.5,Open injection sclerotherapy to varices of oesophagus
Oesophageal varices,NA,NA,Procedure for Oesophageal varices,G10.8,Other specified open operations on varices of oesophagus
Oesophageal varices,NA,NA,Procedure for Oesophageal varices,G10.9,Unspecified open operations on varices of oesophagus
Oesophageal varices,NA,NA,Procedure for Oesophageal varices,G17.4,Endoscopic injection sclerotherapy to varices of oesophagus using rigid oesophagoscope
Oesophageal varices,NA,NA,Procedure for Oesophageal varices,G43.7,Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices
Oesophagitis and oesophageal ulcer,K20,Oesophagitis,Diagnosis of Oesophagitis and oesophageal ulcer,NA,NA
Oesophagitis and oesophageal ulcer,K21.0,Gastro-oesophageal reflux disease with oesophagitis,Diagnosis of Oesophagitis and oesophageal ulcer,NA,NA
Oesophagitis and oesophageal ulcer,K22.1,Ulcer of oesophagus,Diagnosis of Oesophagitis and oesophageal ulcer,NA,NA
Osteoarthritis (excl spine),M15,Polyarthrosis,Diagnosis of Osteoarthritis (excl spine),NA,NA
Osteoarthritis (excl spine),M16,Coxarthrosis [arthrosis of hip],Diagnosis of Osteoarthritis (excl spine),NA,NA
Osteoarthritis (excl spine),M17,Gonarthrosis [arthrosis of knee],Diagnosis of Osteoarthritis (excl spine),NA,NA
Osteoarthritis (excl spine),M18,Arthrosis of first carpometacarpal joint,Diagnosis of Osteoarthritis (excl spine),NA,NA
Osteoarthritis (excl spine),M19,Other arthrosis,Diagnosis of Osteoarthritis (excl spine),NA,NA
Osteoporosis,M80,Osteoporosis with pathological fracture,Diagnosis of Osteoporosis,NA,NA
Osteoporosis,M81,Osteoporosis without pathological fracture,Diagnosis of Osteoporosis,NA,NA
Osteoporosis,M82,Osteoporosis in diseases classified elsewhere,Diagnosis of Osteoporosis,NA,NA
Other anaemias,D53,Other nutritional anaemias,Diagnosis of Other anaemias,NA,NA
Other anaemias,D62,Acute posthaemorrhagic anaemia,Diagnosis of Other anaemias,NA,NA
Other anaemias,D63,Anaemia in chronic diseases classified elsewhere,Diagnosis of Other anaemias,NA,NA
Other anaemias,D64,Other anaemias,Diagnosis of Other anaemias,NA,NA
Other Cardiomyopathy,I25.5,Ischaemic cardiomyopathy,Diagnosis of Other Cardiomyopathy,NA,NA
Other Cardiomyopathy,I42.3,Endomyocardial (eosinophilic) disease,Diagnosis of Other Cardiomyopathy,NA,NA
Other Cardiomyopathy,I42.5,Other restrictive cardiomyopathy,Diagnosis of Other Cardiomyopathy,NA,NA
Other Cardiomyopathy,I42.7,Cardiomyopathy due to drugs and other external agents,Diagnosis of Other Cardiomyopathy,NA,NA
Other Cardiomyopathy,I42.8,Other cardiomyopathies,Diagnosis of Other Cardiomyopathy,NA,NA
Other Cardiomyopathy,I42.9,"Cardiomyopathy, unspecified",Diagnosis of Other Cardiomyopathy,NA,NA
Other Cardiomyopathy,I43,Cardiomyopathy in diseases classified elsewhere,Diagnosis of Other Cardiomyopathy,NA,NA
Other haemolytic anaemias,D55,Anaemia due to enzyme disorders,Diagnosis of Other haemolytic anaemias,NA,NA
Other haemolytic anaemias,D58,Other hereditary haemolytic anaemias,Diagnosis of Other haemolytic anaemias,NA,NA
Other haemolytic anaemias,D59,Acquired haemolytic anaemia,Diagnosis of Other haemolytic anaemias,NA,NA
Other interstitial pulmonary diseases with fibrosis,J84.1,Other interstitial pulmonary diseases with fibrosis,Diagnosis of Other interstitial pulmonary diseases with fibrosis,NA,NA
Other psychoactive substance misuse,F11,Mental and behavioural disorders due to use of opioids,Diagnosis of Other psychoactive substance misuse,NA,NA
Other psychoactive substance misuse,F12,Mental and behavioural disorders due to use of cannabinoids,Diagnosis of Other psychoactive substance misuse,NA,NA
Other psychoactive substance misuse,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,Diagnosis of Other psychoactive substance misuse,NA,NA
Other psychoactive substance misuse,F14,Mental and behavioural disorders due to use of cocaine,Diagnosis of Other psychoactive substance misuse,NA,NA
Other psychoactive substance misuse,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",Diagnosis of Other psychoactive substance misuse,NA,NA
Other psychoactive substance misuse,F16,Mental and behavioural disorders due to use of hallucinogens,Diagnosis of Other psychoactive substance misuse,NA,NA
Other psychoactive substance misuse,F18,Mental and behavioural disorders due to use of volatile solvents,Diagnosis of Other psychoactive substance misuse,NA,NA
Other psychoactive substance misuse,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,Diagnosis of Other psychoactive substance misuse,NA,NA
Pancreatitis,K85,Acute pancreatitis,Diagnosis of Pancreatitis,NA,NA
Pancreatitis,K86.0,Alcohol-induced chronic pancreatitis,Diagnosis of Pancreatitis,NA,NA
Pancreatitis,K86.1,Other chronic pancreatitis,Diagnosis of Pancreatitis,NA,NA
Pancreatitis,K86.3,Pseudocyst of pancreas,Diagnosis of Pancreatitis,NA,NA
Parkinson's disease,F02.3,Dementia in Parkinson's disease,History of Parkinson's disease,NA,NA
Parkinson's disease,G20,Parkinson's disease,Diagnosis of Parkinson's disease,NA,NA
Peptic ulcer disease,K25,Gastric ulcer,Diagnosis of Peptic ulcer disease,NA,NA
Peptic ulcer disease,K26,Duodenal ulcer,Diagnosis of Peptic ulcer disease,NA,NA
Peptic ulcer disease,K27,"Peptic ulcer, site unspecified",Diagnosis of Peptic ulcer disease,NA,NA
Peptic ulcer disease,K28,Gastrojejunal ulcer,Diagnosis of Peptic ulcer disease,NA,NA
Peptic ulcer disease,NA,NA,Procedure for Peptic ulcer disease,G35,Operations on ulcer of stomach
Peptic ulcer disease,NA,NA,Procedure for Peptic ulcer disease,G35.1,Closure of perforated ulcer of stomach
Peptic ulcer disease,NA,NA,Procedure for Peptic ulcer disease,G35.2,Closure of ulcer of stomach NEC
Peptic ulcer disease,NA,NA,Procedure for Peptic ulcer disease,G35.8,Other specified operations on ulcer of stomach
Peptic ulcer disease,NA,NA,Procedure for Peptic ulcer disease,G35.9,Unspecified operations on ulcer of stomach
Peptic ulcer disease,NA,NA,Procedure for Peptic ulcer disease,G52,Operations on ulcer of duodenum
Peptic ulcer disease,NA,NA,Procedure for Peptic ulcer disease,G52.1,Closure of perforated ulcer of duodenum
Peptic ulcer disease,NA,NA,Procedure for Peptic ulcer disease,G52.2,Suture of ulcer of duodenum NEC
Peptic ulcer disease,NA,NA,Procedure for Peptic ulcer disease,G52.3,Oversew of blood vessel of duodenal ulcer
Peptic ulcer disease,NA,NA,Procedure for Peptic ulcer disease,G52.8,Other specified operations on ulcer of duodenum
Peptic ulcer disease,NA,NA,Procedure for Peptic ulcer disease,G52.9,Unspecified operations on ulcer of duodenum
Peripheral arterial disease,I731,Thromboangiitis obliterans [Buerger],Peripheral vascular disease (7),NA,NA
Peripheral arterial disease,I738,Other specified peripheral vascular diseases,Peripheral vascular disease (7),NA,NA
Peripheral arterial disease,I739,"Peripheral vascular disease, unspecified",Peripheral vascular disease (7),NA,NA
Peripheral arterial disease,I743,Embolism and thrombosis of arteries of lower extremities,Leg or aortic embolism or thrombosis (8),NA,NA
Peripheral arterial disease,I744,"Embolism and thrombosis of arteries of extremities, unspecified",Leg or aortic embolism or thrombosis (8),NA,NA
Peripheral arterial disease,I745,Embolism and thrombosis of iliac artery,Leg or aortic embolism or thrombosis (8),NA,NA
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L50,Other emergency bypass of iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L50.1,Emergency bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L50.2,Emergency bypass of iliac artery by anastomosis of aorta to external iliac artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L50.3,Emergency bypass of artery of leg by anastomosis of aorta to common femoral artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L50.4,Emergency bypass of artery of leg by anastomosis of aorta to deep femoral artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L50.5,Emergency bypass of iliac artery by anastomosis of iliac artery to iliac artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L50.6,Emergency bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L50.8,Other specified other emergency bypass of iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L50.9,Unspecified other emergency bypass of iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L51,Other bypass of iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L51.1,Bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L51.2,Bypass of iliac artery by anastomosis of aorta to external iliac artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L51.3,Bypass of artery of leg by anastomosis of aorta to common femoral artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L51.4,Bypass of artery of leg by anastomosis of aorta to deep femoral artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L51.5,Bypass of iliac artery by anastomosis of iliac artery to iliac artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L51.6,Bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L51.8,Other specified other bypass of iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L51.9,Unspecified other bypass of iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L52,Reconstruction of iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L52.1,Endarterectomy of iliac artery and patch repair of iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L52.2,Endarterectomy of iliac artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L52.8,Other specified reconstruction of iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L52.9,Unspecified reconstruction of iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L53,Other open operations on iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L53.1,Repair of iliac artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L53.2,Open embolectomy of iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L54.1,Percutaneous transluminal angioplasty of iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L54.2,Percutaneous transluminal embolectomy of iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L54.4,Percutaneous transluminal insertion of stent into iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L54.8,Other specified transluminal operations on iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L54.9,Unspecified transluminal operations on iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L58,Other emergency bypass of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L58.1,Emergency bypass of femoral artery by anastomosis of femoral artery to femoral artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L58.2,Emergency bypass of femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L58.3,Emergency bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L58.4,Emergency bypass of femoral artery by anastomosis of femoral artery to tibial artery using prosthesis NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L58.5,Emergency bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L58.6,Emergency bypass of femoral artery by anastomosis of femoral artery to peroneal artery using prosthesis NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L58.7,Emergency bypass of femoral artery by anastomosis of femoral artery to peroneal artery using vein graft NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L58.8,Other specified other emergency bypass of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L58.9,Unspecified other emergency bypass of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L59,Other bypass of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L59.1,Bypass of femoral artery by anastomosis of femoral artery to femoral artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L59.2,Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L59.3,Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L59.4,Bypass of femoral artery by anastomosis of femoral artery to tibial artery using prosthesis NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L59.5,Bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L59.6,Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using prosthesis NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L59.7,Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using vein graft NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L59.8,Other specified other bypass of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L59.9,Unspecified other bypass of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L60,Reconstruction of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L60.1,Endarterectomy of femoral artery and patch repair of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L60.2,Endarterectomy of femoral artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L60.3,Profundoplasty of femoral artery and patch repair of deep femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L60.4,Profundoplasty of femoral artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L60.8,Other specified reconstruction of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L60.9,Unspecified reconstruction of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L62,Other open operations on femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L62.1,Repair of femoral artery NEC
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L62.2,Open embolectomy of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L62.8,Other specified other open operations on femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L62.9,Unspecified other open operations on femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L63.1,Percutaneous transluminal angioplasty of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L63.2,Percutaneous transluminal embolectomy of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L63.3,Percutaneous transluminal embolisation of femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L63.5,Percutaneous transluminal insertion of stent into femoral artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L65,Revision of reconstruction of artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L65.1,Revision of reconstruction involving aorta
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L65.2,Revision of reconstruction involving iliac artery
Peripheral arterial disease,NA,NA,PAD procedure performed (3),L65.3,Revision of reconstruction involving femoral artery
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G56.1,Other lesions of median nerve,Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G56.2,Lesion of ulnar nerve,Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G56.3,Lesion of radial nerve,Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G56.4,Causalgia,Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G56.8,Other mononeuropathies of upper limb,Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G56.9,"Mononeuropathy of upper limb, unspecified",Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G57,Mononeuropathies of lower limb,Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G58,Other mononeuropathies,Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G59,Mononeuropathy in diseases classified elsewhere,Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G60,Hereditary and idiopathic neuropathy,Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G61,Inflammatory polyneuropathy,Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G62,Other polyneuropathies,Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G63,Polyneuropathy in diseases classified elsewhere,Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G64,Other disorders of peripheral nervous system,Diagnosis of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),M14.6,Neuropathic arthropathy,History of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),M49.4,Neuropathic spondylopathy,History of peripheral neuropathy,NA,NA
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),E85.1,Neuropathic heredofamilial amyloidosis,History of peripheral neuropathy,NA,NA
Personality disorders,F60,Specific personality disorders,Diagnosis of Personality disorders,NA,NA
Personality disorders,F61,Mixed and other personality disorders,Diagnosis of Personality disorders,NA,NA
Polycystic ovarian syndrome,E28.2,Polycystic ovarian syndrome,Diagnosis of Polycystic ovarian syndrome,NA,NA
Polycythaemia vera,D45,Polycythaemia vera,Diagnosis of Polycythaemia vera,NA,NA
Polymyalgia Rheumatica,M31.5,Giant cell arteritis with polymyalgia rheumatica,Diagnosis of Polymyalgia Rheumatica,NA,NA
Polymyalgia Rheumatica,M35.3,Polymyalgia rheumatica,Diagnosis of Polymyalgia Rheumatica,NA,NA
Portal hypertension,K76.6,Portal hypertension,Diagnosis of Portal hypertension,NA,NA
"Postviral fatigue syndrome, neurasthenia and fibromyalgia",G93.3,Postviral fatigue syndrome,"Diagnosis of Postviral fatigue syndrome, neurasthenia and fibromyalgia",NA,NA
"Postviral fatigue syndrome, neurasthenia and fibromyalgia",F48.0,Neurasthenia,"Diagnosis of Postviral fatigue syndrome, neurasthenia and fibromyalgia",NA,NA
"Postviral fatigue syndrome, neurasthenia and fibromyalgia",M79.7,Fibromyalgia,"Diagnosis of Postviral fatigue syndrome, neurasthenia and fibromyalgia",NA,NA
Primary Malignancy_biliary tract,C22.1,Malignant neoplasm: Intrahepatic bile duct carcinoma,Diagnosis of Primary Malignancy_biliary tract,NA,NA
Primary Malignancy_biliary tract,C24,Malignant neoplasm of other and unspecified parts of biliary tract,Diagnosis of Primary Malignancy_biliary tract,NA,NA
Primary Malignancy_Bladder,C67,Malignant neoplasm of bladder,Diagnosis of Primary Malignancy_Bladder,NA,NA
Primary Malignancy_Bone and articular cartilage,C40,Malignant neoplasm of bone and articular cartilage of limbs,Diagnosis of Primary Malignancy_Bone and articular cartilage,NA,NA
Primary Malignancy_Bone and articular cartilage,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Diagnosis of Primary Malignancy_Bone and articular cartilage,NA,NA
"Primary Malignancy_Brain, Other CNS and Intracranial",C70,Malignant neoplasm of meninges,"Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",NA,NA
"Primary Malignancy_Brain, Other CNS and Intracranial",C71,Malignant neoplasm of brain,"Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",NA,NA
"Primary Malignancy_Brain, Other CNS and Intracranial",C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system","Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",NA,NA
"Primary Malignancy_Brain, Other CNS and Intracranial",C75.1,Malignant neoplasm: Pituitary gland,"Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",NA,NA
"Primary Malignancy_Brain, Other CNS and Intracranial",C75.2,Malignant neoplasm: Craniopharyngeal duct,"Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",NA,NA
"Primary Malignancy_Brain, Other CNS and Intracranial",C75.3,Malignant neoplasm: Pineal gland,"Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",NA,NA
"Primary Malignancy_Brain, Other CNS and Intracranial",C75.4,Malignant neoplasm: Carotid body,"Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",NA,NA
"Primary Malignancy_Brain, Other CNS and Intracranial",C75.5,Malignant neoplasm: Aortic body and other paraganglia,"Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",NA,NA
Primary Malignancy_Breast,C50,Malignant neoplasm of breast,Diagnosis of Primary Malignancy_Breast,NA,NA
Primary Malignancy_Breast,D05,Carcinoma in situ of breast,Diagnosis of Primary Malignancy_Breast,NA,NA
Primary Malignancy_Cervical,C53,Malignant neoplasm of cervix uteri,Diagnosis of Primary Malignancy_Cervical,NA,NA
Primary Malignancy_colorectal and anus,C18,Malignant neoplasm of colon,Diagnosis of Primary Malignancy_colorectal and anus,NA,NA
Primary Malignancy_colorectal and anus,C19,Malignant neoplasm of rectosigmoid junction,Diagnosis of Primary Malignancy_colorectal and anus,NA,NA
Primary Malignancy_colorectal and anus,C20,Malignant neoplasm of rectum,Diagnosis of Primary Malignancy_colorectal and anus,NA,NA
Primary Malignancy_colorectal and anus,C21,Malignant neoplasm of anus and anal canal,Diagnosis of Primary Malignancy_colorectal and anus,NA,NA
Primary Malignancy_Kidney and Ureter,C64,"Malignant neoplasm of kidney, except renal pelvis",Diagnosis of Primary Malignancy_Kidney and Ureter,NA,NA
Primary Malignancy_Kidney and Ureter,C65,Malignant neoplasm of renal pelvis,Diagnosis of Primary Malignancy_Kidney and Ureter,NA,NA
Primary Malignancy_Kidney and Ureter,C66,Malignant neoplasm of ureter,Diagnosis of Primary Malignancy_Kidney and Ureter,NA,NA
Primary Malignancy_Liver,C22.0,Malignant neoplasm: Liver cell carcinoma,Diagnosis of Primary Malignancy_Liver,NA,NA
Primary Malignancy_Liver,C22.2,Malignant neoplasm: Hepatoblastoma,Diagnosis of Primary Malignancy_Liver,NA,NA
Primary Malignancy_Liver,C22.3,Malignant neoplasm: Angiosarcoma of liver,Diagnosis of Primary Malignancy_Liver,NA,NA
Primary Malignancy_Liver,C22.4,Malignant neoplasm: Other sarcomas of liver,Diagnosis of Primary Malignancy_Liver,NA,NA
Primary Malignancy_Liver,C22.7,Malignant neoplasm: Other specified carcinomas of liver,Diagnosis of Primary Malignancy_Liver,NA,NA
Primary Malignancy_Liver,C22.9,"Malignant neoplasm: Liver, unspecified",Diagnosis of Primary Malignancy_Liver,NA,NA
Primary Malignancy_Lung and trachea,C33,Malignant neoplasm of trachea,Diagnosis of Primary Malignancy_Lung and trachea,NA,NA
Primary Malignancy_Lung and trachea,C34,Malignant neoplasm of bronchus and lung,Diagnosis of Primary Malignancy_Lung and trachea,NA,NA
Primary Malignancy_Malignant Melanoma,C43,Malignant melanoma of skin,Diagnosis of Primary Malignancy_Malignant Melanoma,NA,NA
Primary Malignancy_Mesothelioma,C45,Mesothelioma,Diagnosis of Primary Malignancy_Mesothelioma,NA,NA
Primary Malignancy_Multiple independent sites,C97,Malignant neoplasms of independent (primary) multiple sites,Diagnosis of Primary Malignancy_Multiple independent sites,NA,NA
Primary Malignancy_Oesophageal,C15,Malignant neoplasm of oesophagus,Diagnosis of Primary Malignancy_Oesophageal,NA,NA
Primary Malignancy_Oro-pharyngeal,C00,Malignant neoplasm of lip,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C01,Malignant neoplasm of base of tongue,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C02,Malignant neoplasm of other and unspecified parts of tongue,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C03,Malignant neoplasm of gum,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C04,Malignant neoplasm of floor of mouth,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C05,Malignant neoplasm of palate,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C06,Malignant neoplasm of other and unspecified parts of mouth,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C07,Malignant neoplasm of parotid gland,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C08,Malignant neoplasm of other and unspecified major salivary glands,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C09,Malignant neoplasm of tonsil,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C10,Malignant neoplasm of oropharynx,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C11,Malignant neoplasm of nasopharynx,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C12,Malignant neoplasm of piriform sinus,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C13,Malignant neoplasm of hypopharynx,Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Oro-pharyngeal,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Diagnosis of Primary Malignancy_Oro-pharyngeal,NA,NA
Primary Malignancy_Other Organs,C17,Malignant neoplasm of small intestine,Diagnosis of Primary Malignancy_Other Organs,NA,NA
Primary Malignancy_Other Organs,C23,Malignant neoplasm of gallbladder,Diagnosis of Primary Malignancy_Other Organs,NA,NA
Primary Malignancy_Other Organs,C26.0,"Malignant neoplasm: Intestinal tract, part unspecified",Possible Diagnosis of Primary Malignancy_Other Organs,NA,NA
Primary Malignancy_Other Organs,C26.1,Malignant neoplasm: Spleen,Diagnosis of Primary Malignancy_Other Organs,NA,NA
Primary Malignancy_Other Organs,C26.8,Malignant neoplasm: Overlapping lesion of digestive system,Possible Diagnosis of Primary Malignancy_Other Organs,NA,NA
Primary Malignancy_Other Organs,C26.9,Malignant neoplasm: Ill-defined sites within the digestive system,Possible Diagnosis of Primary Malignancy_Other Organs,NA,NA
Primary Malignancy_Other Organs,C30.0,Malignant neoplasm: Nasal cavity,Diagnosis of Primary Malignancy_Other Organs,NA,NA
Primary Malignancy_Other Organs,C30.1,Malignant neoplasm: Middle ear,Diagnosis of Primary Malignancy_Other Organs,NA,NA
Primary Malignancy_Other Organs,C31,Malignant neoplasm of accessory sinuses,Diagnosis of Primary Malignancy_Other Organs,NA,NA
Primary Malignancy_Other Organs,C32,Malignant neoplasm of larynx,Diagnosis of Primary Malignancy_Other Organs,NA,NA
